2026-05-12 16:14:43 [INFO    ] mexc_client          ✓ Public API OK | BTC price: 80555.1
2026-05-12 16:14:43 [ERROR   ] mexc_client          GET /api/v1/private/account/assets failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/account/assets
2026-05-12 16:14:43 [INFO    ] mexc_client          ✓ Private API OK | Got account data
2026-05-12 16:14:43 [INFO    ] main                 Loading 1-minute historical data...
2026-05-12 16:14:43 [INFO    ] data_fetcher         Loading history for BTC_USDT...
2026-05-12 16:14:44 [INFO    ] data_fetcher           [OK] BTC_USDT: 300 candles loaded
2026-05-12 16:14:44 [INFO    ] data_fetcher         Loading history for ETH_USDT...
2026-05-12 16:14:44 [INFO    ] data_fetcher           [OK] ETH_USDT: 300 candles loaded
2026-05-12 16:14:44 [INFO    ] data_fetcher         Database initialized: data/trades_htf.db
2026-05-12 16:14:44 [INFO    ] main                 Loading 5-minute higher-timeframe data...
2026-05-12 16:14:44 [INFO    ] data_fetcher         Loading history for BTC_USDT...
2026-05-12 16:14:45 [INFO    ] data_fetcher           [OK] BTC_USDT: 100 candles loaded
2026-05-12 16:14:45 [INFO    ] data_fetcher         Loading history for ETH_USDT...
2026-05-12 16:14:45 [INFO    ] data_fetcher           [OK] ETH_USDT: 100 candles loaded
2026-05-12 16:14:45 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:14:46 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:14:46 [INFO    ] main                   Leverage set: BTC_USDT x 10
2026-05-12 16:14:47 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:14:49 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:14:49 [INFO    ] main                   Leverage set: ETH_USDT x 10
2026-05-12 16:14:49 [INFO    ] main                 Initializing AI models...
2026-05-12 16:14:49 [INFO    ] mexc_client          WebSocket connected
2026-05-12 16:14:49 [INFO    ] mexc_client          WebSocket ready
2026-05-12 16:14:49 [INFO    ] main                 [OK] WebSocket live feed active
2026-05-12 16:14:49 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 16:14:49 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:14:50 [ERROR   ] mexc_client          GET /api/v1/private/account/assets failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/account/assets
2026-05-12 16:14:50 [INFO    ] risk_manager         Daily reset | balance=100.00 USDT
2026-05-12 16:14:50 [INFO    ] main                 Starting balance: 100.00 USDT
2026-05-12 16:14:50 [INFO    ] main                 [RUN] Scalping loop started
2026-05-12 16:14:50 [INFO    ] main                 [DASHBOARD] Dashboard -> http://localhost:5000
2026-05-12 16:14:55 [INFO    ] main                 Evaluating BTC_USDT @ 80551.00
2026-05-12 16:14:55 [INFO    ] main                 Evaluating ETH_USDT @ 2282.63
2026-05-12 16:15:00 [INFO    ] main                 Evaluating BTC_USDT @ 80547.30
2026-05-12 16:15:00 [INFO    ] main                 Evaluating ETH_USDT @ 2282.64
2026-05-12 16:15:05 [INFO    ] main                 Evaluating BTC_USDT @ 80545.10
2026-05-12 16:15:06 [INFO    ] main                 Evaluating ETH_USDT @ 2282.85
2026-05-12 16:15:11 [INFO    ] main                 Evaluating BTC_USDT @ 80542.70
2026-05-12 16:15:11 [INFO    ] main                 Evaluating ETH_USDT @ 2282.30
2026-05-12 16:15:16 [INFO    ] main                 Evaluating BTC_USDT @ 80533.00
2026-05-12 16:15:16 [INFO    ] main                 Evaluating ETH_USDT @ 2281.69
2026-05-12 16:15:21 [INFO    ] main                 Evaluating BTC_USDT @ 80516.70
2026-05-12 16:15:21 [INFO    ] main                 Evaluating ETH_USDT @ 2281.00
2026-05-12 16:15:26 [INFO    ] main                 Evaluating BTC_USDT @ 80513.90
2026-05-12 16:15:26 [INFO    ] main                 Evaluating ETH_USDT @ 2280.64
2026-05-12 16:15:31 [INFO    ] main                 Evaluating BTC_USDT @ 80515.00
2026-05-12 16:15:31 [INFO    ] main                 Evaluating ETH_USDT @ 2280.77
2026-05-12 16:15:36 [INFO    ] main                 Evaluating BTC_USDT @ 80517.90
2026-05-12 16:15:36 [INFO    ] main                 Evaluating ETH_USDT @ 2281.12
2026-05-12 16:15:42 [INFO    ] main                 Evaluating BTC_USDT @ 80518.10
2026-05-12 16:15:42 [INFO    ] main                 Evaluating ETH_USDT @ 2280.98
2026-05-12 16:15:47 [INFO    ] main                 Evaluating BTC_USDT @ 80513.00
2026-05-12 16:15:47 [INFO    ] main                 Evaluating ETH_USDT @ 2280.80
2026-05-12 16:15:51 [WARNING ] mexc_client          WebSocket closed: None None
2026-05-12 16:15:52 [INFO    ] main                 Evaluating BTC_USDT @ 80513.80
2026-05-12 16:15:52 [INFO    ] main                 Evaluating ETH_USDT @ 2280.93
2026-05-12 16:15:56 [INFO    ] main                 [START] Bot STARTED by dashboard
2026-05-12 16:15:56 [INFO    ] mexc_client          Reconnecting WebSocket...
2026-05-12 16:15:57 [INFO    ] mexc_client          WebSocket connected
2026-05-12 16:15:57 [INFO    ] mexc_client          WebSocket ready
2026-05-12 16:15:57 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 16:15:57 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:15:57 [INFO    ] main                 Evaluating BTC_USDT @ 80513.80
2026-05-12 16:15:57 [INFO    ] main                 Evaluating ETH_USDT @ 2280.93
2026-05-12 16:16:02 [INFO    ] main                 Evaluating BTC_USDT @ 80517.60
2026-05-12 16:16:02 [INFO    ] main                 Evaluating ETH_USDT @ 2281.17
2026-05-12 16:16:08 [INFO    ] main                 Evaluating BTC_USDT @ 80508.10
2026-05-12 16:16:08 [INFO    ] main                 Evaluating ETH_USDT @ 2280.44
2026-05-12 16:16:13 [INFO    ] main                 Evaluating BTC_USDT @ 80508.00
2026-05-12 16:16:13 [INFO    ] main                 Evaluating ETH_USDT @ 2280.55
2026-05-12 16:16:18 [INFO    ] main                 Evaluating BTC_USDT @ 80499.90
2026-05-12 16:16:18 [INFO    ] main                 Evaluating ETH_USDT @ 2280.12
2026-05-12 16:16:23 [INFO    ] main                 Evaluating BTC_USDT @ 80494.90
2026-05-12 16:16:23 [INFO    ] main                 Evaluating ETH_USDT @ 2280.16
2026-05-12 16:16:28 [INFO    ] main                 Evaluating BTC_USDT @ 80494.50
2026-05-12 16:16:28 [INFO    ] main                 Evaluating ETH_USDT @ 2280.52
2026-05-12 16:16:33 [INFO    ] main                 Evaluating BTC_USDT @ 80484.80
2026-05-12 16:16:33 [INFO    ] main                 Evaluating ETH_USDT @ 2280.20
2026-05-12 16:16:38 [INFO    ] main                 Evaluating BTC_USDT @ 80482.30
2026-05-12 16:16:38 [INFO    ] main                 Evaluating ETH_USDT @ 2280.28
2026-05-12 16:16:43 [INFO    ] main                 Evaluating BTC_USDT @ 80482.30
2026-05-12 16:16:43 [INFO    ] main                 Evaluating ETH_USDT @ 2280.29
2026-05-12 16:16:48 [INFO    ] main                 Evaluating BTC_USDT @ 80481.10
2026-05-12 16:16:49 [INFO    ] main                 Evaluating ETH_USDT @ 2280.11
2026-05-12 16:16:54 [INFO    ] main                 Evaluating BTC_USDT @ 80481.10
2026-05-12 16:16:54 [INFO    ] main                 Evaluating ETH_USDT @ 2279.83
2026-05-12 16:16:59 [INFO    ] main                 Evaluating BTC_USDT @ 80481.70
2026-05-12 16:16:59 [INFO    ] main                 Evaluating ETH_USDT @ 2280.30
2026-05-12 16:16:59 [WARNING ] mexc_client          WebSocket closed: None None
2026-05-12 16:17:04 [INFO    ] main                 Evaluating BTC_USDT @ 80482.60
2026-05-12 16:17:04 [INFO    ] main                 Evaluating ETH_USDT @ 2280.37
2026-05-12 16:17:04 [INFO    ] mexc_client          Reconnecting WebSocket...
2026-05-12 16:17:05 [INFO    ] mexc_client          WebSocket connected
2026-05-12 16:17:05 [INFO    ] mexc_client          WebSocket ready
2026-05-12 16:17:05 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 16:17:05 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:17:09 [INFO    ] main                 Evaluating BTC_USDT @ 80479.90
2026-05-12 16:17:09 [INFO    ] main                 Evaluating ETH_USDT @ 2280.27
2026-05-12 16:17:14 [INFO    ] main                 Evaluating BTC_USDT @ 80479.90
2026-05-12 16:17:14 [INFO    ] main                 Evaluating ETH_USDT @ 2280.34
2026-05-12 16:17:19 [INFO    ] main                 Evaluating BTC_USDT @ 80479.90
2026-05-12 16:17:19 [INFO    ] main                 Evaluating ETH_USDT @ 2280.34
2026-05-12 16:17:24 [INFO    ] main                 Evaluating BTC_USDT @ 80478.40
2026-05-12 16:17:24 [INFO    ] main                 Evaluating ETH_USDT @ 2280.38
2026-05-12 16:17:29 [INFO    ] main                 Evaluating BTC_USDT @ 80478.30
2026-05-12 16:17:30 [INFO    ] main                 Evaluating ETH_USDT @ 2280.50
2026-05-12 16:17:35 [INFO    ] main                 Evaluating BTC_USDT @ 80478.30
2026-05-12 16:17:35 [INFO    ] main                 Evaluating ETH_USDT @ 2280.60
2026-05-12 16:17:40 [INFO    ] main                 Evaluating BTC_USDT @ 80472.30
2026-05-12 16:17:40 [INFO    ] main                 Evaluating ETH_USDT @ 2280.12
2026-05-12 16:17:45 [INFO    ] main                 Evaluating BTC_USDT @ 80477.50
2026-05-12 16:17:45 [INFO    ] main                 Evaluating ETH_USDT @ 2280.22
2026-05-12 16:17:50 [INFO    ] main                 Evaluating BTC_USDT @ 80477.60
2026-05-12 16:17:50 [INFO    ] main                 Evaluating ETH_USDT @ 2280.23
2026-05-12 16:17:55 [INFO    ] main                 Evaluating BTC_USDT @ 80477.60
2026-05-12 16:17:55 [INFO    ] main                 Evaluating ETH_USDT @ 2280.13
2026-05-12 16:18:00 [INFO    ] main                 Evaluating BTC_USDT @ 80477.50
2026-05-12 16:18:00 [INFO    ] main                 Evaluating ETH_USDT @ 2280.13
